;activityNameEN_tags
0;register<>A, submission<>BO, date<>BO, request<>BO, 
1;olo<>BO, messaging<>BO, active<>A, 
2;send<>A, confirmation<>BO, receipt<>BO, 
3;forward<>A, to<>X, the<>REC, competent<>REC, authority<>REC, 
4;regular<>BO, procedure<>BO, without<>BO, mer<>BO, 
5;create<>A, procedure<>BO, confirmation<>BO, 
6;create<>A, subcases<>BO, completeness<>BO, 
7;create<>A, publication<>BO, document<>BO, 
8;phase<>BO, application<>BO, received<>A, 
9;start<>A, waboprocedure<>BO, 
10;registration<>BO, date<>BO, publication<>A, 
11;enter<>A, senddate<>BO, acknowledgement<>BO, 
12;request<>A, complete<>BO, 
13;send<>A, letter<>BO, in<>ASTATE, progress<>ASTATE, 
14;procedure<>BO, change<>A, 
15;article<>BO, 34<>BO,  wabo<>BO, applies<>A, 
16;grounds<>BO, for<>X, refusal<>A, 
17;ask<>A, stakeholders<>BO, views<>BO, 
18;suspension<>BO, ground<>BO, applicable<>A, 
19;coordination<>A, of<>X, application<>BO, 
20;by<>X, law<>BO, 
21;decision<>BO, date<>BO, prior<>X, to<>X, decision<>BO, 
22;submit<>A, decision<>BO, 
23;phase<>BO, decision<>BO, ready<>BOSTATE, 
24;generating<>A, decision<>BO, environmental<>BO, permit<>BO, 
25;phase<>BO, application<>BO, receptive<>A, 
26;phase<>BO, advice<>BO, known<>A, 
27;creating<>A, environmental<>BO, permit<>BO, decision<>BO, 
28;treat<>A, subcases<>BO, content<>BO, 
29;assessment<>BO, of<>BO, content<>BO, completed<>A, 
30;completed<>A, subcases<>BO, content<>BO, 
31;set<>A, decision<>BO, status<>BO, 
32;register<>A, objection<>BO, and<>BO, appeal<>BO, periods<>BO, 
33;creating<>A, cover<>BO, letter<>BO, decision<>BO, 
34;transcript<>A, decision<>BO, environmental<>BO, permit<>BO, to<>X, stakeholders<>REC, 
35;record<>A, date<>BO, of<>X, decision<>BO, environmental<>BO, permit<>BO, 
36;enter<>A, senddate<>BO, decision<>BO, environmental<>BO, permit<>BO, 
37;set<>A, decision<>BO, phase<>BO, decision<>BO, permitting<>BO, decided<>BO, 
38;phase<>BO, decision<>BO, taken<>A, 
39;enter<>A, senddate<>BO, decision<>BO, 
40;phase<>BO, decision<>BO, sent<>A, 
41;start<>A, decision<>BO, phase<>BO, decision<>BO, permitting<>BO, sent<>BO, 
42;term<>BO, for<>X, supplying<>A, missing<>BO, data<>BO, 
43;create<>A, letter<>BO, requesting<>A, missing<>BO, data<>BO, 
44;retrieve<>A, missing<>BO, data<>BO, 
45;phase<>BO, asked<>A, additional<>BO, information<>BO, 
46;enter<>A, senddate<>BO, retrieve<>A, missing<>BO, data<>BO, 
47;receive<>A, additional<>BO, information<>BO, 
48;enter<>A, receipt<>BO, of<>X, additional<>BO, data<>BO, 
49;phase<>BO, additional<>BO, information<>BO, received<>A, 
50;mer<>BO, present<>X, in<>X, supplement<>BO, 
51;send<>A, confirmation<>BO, receipt<>BO, additional<>BO, data<>BO, 
