;concept:name_tags
0;srm:<>X, created<>A, 
1;srm:<>X, complete<>BOSTATE, 
2;srm:<>X, awaiting<>A, approval<>BO, 
3;srm:<>X, document<>BO, completed<>A, 
4;srm:<>X, in<>X, transfer<>A, to<>X, execution<>REC, syst.<>REC, 
5;srm:<>X, ordered<>A, 
6;srm:<>X, change<>BO, was<>X, transmitted<>A, 
7;create<>A, purchase<>BO, order<>BO, item<>BO, 
8;vendor<>ACTOR, creates<>A, invoice<>BO, 
9;record<>A, goods<>BO, receipt<>BO, 
10;record<>A, invoice<>BO, receipt<>BO, 
11;clear<>A, invoice<>BO, 
12;record<>A, service<>BO, entry<>BO, sheet<>BO, 
13;srm:<>X, transfer<>BO, failed<>BOSTATE, (e.sys.)<>X, 
14;cancel<>A, goods<>BO, receipt<>BO, 
15;vendor<>ACTOR, creates<>A, debit<>BO, memo<>BO, 
16;cancel<>A, invoice<>BO, receipt<>BO, 
17;change<>A, delivery<>BO, indicator<>BO, 
18;remove<>A, payment<>BO, block<>BO, 
19;srm:<>X, deleted<>A, 
20;change<>A, price<>BO, 
21;delete<>A, purchase<>BO, order<>BO, item<>BO, 
22;srm:<>X, transaction<>BO, completed<>A, 
23;change<>A, quantity<>BO, 
24;change<>A, final<>BO, invoice<>BO, indicator<>BO, 
25;srm:<>X, incomplete<>BOSTATE, 
26;srm:<>X, held<>A, 
27;receive<>A, order<>BO, confirmation<>BO, 
28;cancel<>A, subsequent<>BO, invoice<>BO, 
29;reactivate<>A, purchase<>BO, order<>BO, item<>BO, 
30;update<>A, order<>BO, confirmation<>BO, 
31;block<>A, purchase<>BO, order<>BO, item<>BO, 
32;change<>A, approval<>BO, for<>X, purchase<>BO, order<>BO, 
33;release<>A, purchase<>BO, order<>BO, 
34;record<>A, subsequent<>BO, invoice<>BO, 
35;set<>A, payment<>BO, block<>BO, 
36;create<>A, purchase<>BO, requisition<>BO, item<>BO, 
37;change<>A, storage<>BO, location<>BO, 
38;change<>A, currency<>BO, 
39;change<>A, payment<>BO, term<>BO, 
40;change<>A, rejection<>BO, indicator<>BO, 
41;release<>A, purchase<>BO, requisition<>BO, 
