;IncidentActivity_Type_tags
0;reassignment<>A, 
1;update<>A, from<>X, customer<>ACTOR, 
2;operator<>BO, update<>A, 
3;assignment<>A, 
4;closed<>BOSTATE, 
5;caused<>A, by<>X, ci<>BO, 
6;update<>A, 
7;status<>BO, change<>A, 
8;description<>BO, update<>A, 
9;analysis/<>X, research<>A, 
10;resolved<>BOSTATE, 
11;oo<>X, response<>BO, 
12;communication<>A, with<>X, customer<>REC, 
13;external<>BO, vendor<>BO, assignment<>A, 
14;pending<>BOSTATE, vendor<>BO, 
15;open<>A, 
16;communication<>A, with<>X, vendor<>REC, 
17;reopen<>A, 
18;vendor<>BO, reference<>A, 
19;urgency<>BO, change<>A, 
20;impact<>BO, change<>A, 
21;quality<>BO, indicator<>BO, fixed<>A, 
22;problem<>BO, workaround<>A, 
23;problem<>BO, closure<>A, 
24;service<>BO, change<>A, 
25;affected<>BO, ci<>BO, change<>BO, 
26;referred<>A, 
27;vendor<>BO, reference<>BO, change<>A, 
28;incident<>BO, reproduction<>A, 
29;quality<>BO, indicator<>BO, 
30;notify<>A, by<>BO, change<>BO, 
31;contact<>BO, change<>A, 
32;mail<>A, to<>X, customer<>REC, 
33;quality<>BO, indicator<>BO, set<>A, 
34;callback<>BO, request<>BO, 
35;external<>BO, update<>A, 
36;external<>BO, vendor<>BO, reassignment<>A, 
37;alert<>A, stage<>BO, 1<>X, 
38;dial-in<>A, 
