concept:name_tags;state_tags
new<>BO, ;in<>ASTATE, progress<>ASTATE, 
fin<>BO, ;closed<>ASTATE, 
release<>A, ;released<>A, 
code<>BO, ok<>A, ;invoice<>BO, rejected<>A, 
billed<>A, ;billable<>BOSTATE, 
delete<>A, ;unbillable<>BOSTATE, 
reopen<>A, ;rejected<>A, 
change<>A, diagn<>BO, ;check<>A, 
storno<>BO, ;complete<>BOSTATE, 
reject<>A, ;delete<>A, diagn<>BO, 
code<>BO, nok<>BOSTATE, ;delete<>A, end<>BO, 
set<>A, status<>BO, ;billed<>A, code<>BO, error<>BO, 
change<>A, end<>BO, ;release<>A, code<>BO, error<>BO, 
manual<>X, ;reopen<>A, code<>BO, error<>BO, 
join<>A, pat<>BO, ;billed<>A, nok<>ASTATE, 
code<>BO, error<>BO, ;delete<>A, nok<>ASTATE, 
zdbc<>BO, behan<>A, ;release<>A, nok<>ASTATE, 
empty<>BOSTATE, ;reopen<>A, nok<>ASTATE, 
