;concept:name_tags;org:resource_tags;org:role_tags;id_tags
0;start<>A, trip<>BO, ;staff<>ACTOR, member<>ACTOR, ;employee<>ACTOR, ;
1;end<>A, trip<>BO, ;system<>ACTOR, ;supervisor<>ACTOR, ;
2;permit<>BO, submitted<>A, by<>X, employee<>ACTOR, ;;undefined<>BOSTATE, ;
3;permit<>BO, final<>ASTATE, approved<>A, by<>X, supervisor<>ACTOR, ;;director<>ACTOR, ;
4;declaration<>BO, submitted<>A, by<>X, employee<>ACTOR, ;;pre<>ACTOR, approver<>ACTOR, ;
5;declaration<>BO, final<>ASTATE, approved<>A, by<>X, supervisor<>ACTOR, ;;administration<>ACTOR, ;
6;request<>A, payment<>BO, ;;missing<>BOSTATE, ;
7;payment<>BO, handled<>A, ;;budget<>ACTOR, owner<>ACTOR, ;
8;permit<>BO, saved<>A, by<>X, employee<>ACTOR, ;;;
9;permit<>BO, approved<>A, by<>X, supervisor<>ACTOR, ;;;
10;permit<>BO, final<>A, approved<>A, by<>X, director<>ACTOR, ;;;
11;declaration<>BO, approved<>A, by<>X, pre<>BO, approver<>ACTOR, ;;;
12;declaration<>BO, approved<>A, by<>X, administration<>ACTOR, ;;;
13;permit<>BO, approved<>A, by<>X, pre<>BO, approver<>ACTOR, ;;;
14;declaration<>BO, rejected<>A, by<>X, pre<>ACTOR, approver<>ACTOR, ;;;
15;declaration<>BO, rejected<>A, by<>X, employee<>ACTOR, ;;;
16;declaration<>BO, saved<>A, by<>X, employee<>ACTOR, ;;;
17;send<>A, reminder<>BO, ;;;
18;request<>BO, for<>BO, payment<>BO, submitted<>A, by<>X, employee<>ACTOR, ;;;
19;request<>BO, for<>BO, payment<>BO, final<>ASTATE, approved<>A, by<>X, supervisor<>ACTOR, ;;;
20;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, missing<>ACTOR, ;;;
21;permit<>BO, rejected<>A, by<>X, missing<>ACTOR, ;;;
22;permit<>BO, rejected<>A, by<>X, supervisor<>ACTOR, ;;;
23;permit<>BO, rejected<>A, by<>X, employee<>ACTOR, ;;;
24;request<>BO, for<>BO, payment<>BO, approved<>A, by<>X, pre<>ACTOR, approver<>ACTOR, ;;;
25;declaration<>BO, rejected<>A, by<>X, missing<>ACTOR, ;;;
26;declaration<>BO, approved<>A, by<>X, supervisor<>ACTOR, ;;;
27;declaration<>BO, final<>ASTATE, approved<>A, by<>X, director<>ACTOR, ;;;
28;permit<>BO, rejected<>A, by<>X, pre<>ACTOR, approver<>ACTOR, ;;;
29;declaration<>BO, rejected<>A, by<>X, director<>ACTOR, ;;;
30;declaration<>BO, rejected<>A, by<>X, supervisor<>ACTOR, ;;;
31;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, pre<>ACTOR, approver<>ACTOR, ;;;
32;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, employee<>ACTOR, ;;;
33;permit<>BO, approved<>A, by<>X, administration<>ACTOR, ;;;
34;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, supervisor<>ACTOR, ;;;
35;request<>BO, for<>BO, payment<>BO, approved<>A, by<>X, supervisor<>ACTOR, ;;;
36;request<>BO, for<>BO, payment<>BO, final<>ASTATE, approved<>A, by<>X, director<>ACTOR, ;;;
37;declaration<>BO, approved<>A, by<>X, budget<>BO, owner<>ACTOR, ;;;
38;request<>BO, for<>BO, payment<>BO, saved<>A, by<>X, employee<>ACTOR, ;;;
39;permit<>BO, rejected<>A, by<>X, administration<>ACTOR, ;;;
40;declaration<>BO, rejected<>A, by<>X, administration<>ACTOR, ;;;
41;permit<>BO, approved<>A, by<>X, budget<>ACTOR, owner<>ACTOR, ;;;
42;declaration<>BO, rejected<>A, by<>X, budget<>ACTOR, owner<>ACTOR, ;;;
43;request<>BO, for<>BO, payment<>BO, approved<>A, by<>X, administration<>ACTOR, ;;;
44;permit<>BO, rejected<>A, by<>X, budget<>ACTOR, owner<>ACTOR, ;;;
45;request<>BO, for<>BO, payment<>BO, approved<>A, by<>X, budget<>ACTOR, owner<>ACTOR, ;;;
46;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, administration<>ACTOR, ;;;
47;request<>BO, for<>BO, payment<>BO, rejected<>A, by<>X, budget<>ACTOR, owner<>ACTOR, ;;;
48;permit<>BO, for<>X, approval<>A, by<>X, administration<>ACTOR, ;;;
49;permit<>BO, rejected<>A, by<>X, director<>ACTOR, ;;;
50;permit<>BO, for<>X, approval<>A, by<>X, supervisor<>ACTOR, ;;;
