;concept:name_tags
0;confirmation<>A, of<>X, receipt<>BO, 
1;t02<>X, check<>A, confirmation<>BO, of<>BO, receipt<>BO, 
2;t03<>X, adjust<>A, confirmation<>BO, of<>BO, receipt<>BO, 
3;t06<>X, determine<>A, necessity<>BO, of<>BO, stop<>BO, advice<>BO, 
4;t10<>X, determine<>A, necessity<>BO, to<>X, stop<>BO, indication<>BO, 
5;t04<>X, determine<>A, confirmation<>BO, of<>BO, receipt<>BO, 
6;t05<>X, print<>A, and<>X, send<>A, confirmation<>BO, of<>BO, receipt<>BO, 
7;t16<>X, report<>A, reasons<>BO, to<>X, hold<>A, request<>BO, 
8;t17<>X, check<>A, report<>BO, y<>BO, to<>X, stop<>A, indication<>BO, 
9;t19<>X, determine<>A, report<>BO, y<>BO, to<>X, stop<>A, indication<>BO, 
10;t20<>X, print<>A, report<>BO, y<>BO, to<>X, stop<>A, indication<>BO, 
11;t11<>X, create<>A, document<>BO, x<>BO, request<>BO, unlicensed<>BOSTATE, 
12;t12<>X, check<>BO, document<>BO, x<>X, request<>BO, unlicensed<>BOSTATE, 
13;t14<>X, determine<>A, document<>BO, x<>BO, request<>BO, unlicensed<>BOSTATE, 
14;t15<>X, print<>A, document<>BO, x<>X, request<>BO, unlicensed<>BOSTATE, 
15;t07-1<>X, draft<>A, intern<>BO, advice<>BO, aspect<>BO, 1<>X, 
16;t08<>X, draft<>A, and<>X, send<>A, request<>BO, for<>X, advice<>BO, 
17;t09-1<>X, process<>A, or<>X, receive<>BO, external<>BO, advice<>BO, from<>X, party<>ACTOR, 1<>X, 
18;t07-5<>X, draft<>A, intern<>BO, advice<>BO, aspect<>BO, 5<>X, 
19;t09-4<>X, process<>A, or<>X, receive<>A, external<>BO, advice<>BO, from<>X, party<>ACTOR, 4<>X, 
20;t07-3<>X, draft<>A, intern<>BO, advice<>BO, hold<>BO, for<>X, aspect<>BO, 3<>X, 
21;t07-4<>X, draft<>A, internal<>BO, advice<>BO, to<>X, hold<>BO, for<>X, type<>BO, 4<>X, 
22;t07-2<>X, draft<>A, intern<>BO, advice<>BO, aspect<>BO, 2<>X, 
23;t13<>X, adjust<>A, document<>BO, x<>X, request<>BO, unlicensed<>BOSTATE, 
24;t09-3<>X, process<>A, or<>X, receive<>A, external<>BO, advice<>BO, from<>X, party<>ACTOR, 3<>X, 
25;t18<>X, adjust<>A, report<>BO, y<>BO, to<>BO, stop<>BO, indicition<>BO, 
26;t09-2<>X, process<>A, or<>A, receive<>A, external<>BO, advice<>BO, from<>X, party<>ACTOR, 2<>X, 
