model;log;f1-score BO;f1-score A;f1-score ACTOR;f1-score REC;f1-score ASTATE;f1-score BOSTATE;f1-score X;support BO;support A;support ACTOR;support REC;support ASTATE;support BOSTATE;support X;weighted support BO;weighted support A;weighted support ACTOR;weighted support REC;weighted support ASTATE;weighted support BOSTATE;weighted support X
bert;BPI_Challenge_2019.xes_gs.csv;0.9855072463768115;0.9873417721518987;1.0;1.0;0;1.0;1.0;35;39;2;1;0;3;13;34.492753623188406;38.506329113924046;2.0;1.0;0;3.0;13.0
bert;CCC19 - Log XES.xes_gs.csv;0.9206349206349206;0.9117647058823528;0;0;0.6666666666666666;0.0;0;32;34;0;0;2;0;0;29.46031746031746;30.999999999999996;0;0;1.3333333333333333;0.0;0
bert;PermitLog.xes_gs.csv;0.9622641509433962;0.9803921568627451;0.9345794392523364;0;0.9090909090909091;0.6666666666666666;0.0;54;51;54;0;5;2;0;51.9622641509434;50.0;50.467289719626166;0;4.545454545454545;1.3333333333333333;0.0
bert;CreditRequirement.xes_gs.csv;1.0;0.9333333333333333;0;0;0.6666666666666666;0;0;7;7;0;0;2;0;0;7.0;6.533333333333333;0;0;1.3333333333333333;0;0
bert;Receipt phase of an environmental permit application process ( WABO ) CoSeLoG project.xes_gs.csv;0.5675675675675677;0.84375;1.0;0;0;1.0;0.9268292682926829;34;30;4;0;0;5;38;19.297297297297302;25.3125;4.0;0;0;5.0;35.21951219512195
bert;Hospital Billing - Event Log.xes_gs.csv;1.0;0.9795918367346939;0;0;0.9090909090909091;0.8000000000000002;1.0;17;24;0;0;6;5;1;17.0;23.51020408163265;0;0;5.454545454545454;4.000000000000001;1.0
bert;BPI_Challenge_2013_closed_problems.xes_gs.csv;1.0;0.8333333333333333;0;0;1.0;0.0;0;1;7;0;0;1;0;0;1.0;5.833333333333333;0;0;1.0;0.0;0
bert;Road_Traffic_Fine_Management_Process.xes_gs.csv;1.0;1.0;1.0;1.0;0;0;0;9;11;1;4;0;0;0;9.0;11.0;1.0;4.0;0;0;0
bert;BPI_Challenge_2018.xes_gs.csv;0.9;0.9555555555555556;0;0;1.0;0.6666666666666666;0.8333333333333333;30;45;0;0;4;1;7;27.0;43.0;0;0;4.0;0.6666666666666666;5.833333333333333
bert;BPIC15_1.xes_gs.csv;0.867430441898527;0.9430604982206405;0.9333333333333333;0.9166666666666666;0.6666666666666666;0.8181818181818181;0.5333333333333333;310;282;7;11;1;9;21;268.9034369885434;265.94306049822063;6.533333333333333;10.083333333333332;0.6666666666666666;7.363636363636363;11.2
bert;Detail_Incident_Activity.csv_gs.csv;0.88;0.8955223880597014;0.0;0.8571428571428571;0;0.8;0.5;25;32;1;3;0;3;3;22.0;28.656716417910445;0.0;2.571428571428571;0;2.4000000000000004;1.5
bert;BPI_Challenge_2012.xes_gs.csv;0.9333333333333333;0.875;0;0;0.0;0.5;1.0;7;24;0;0;3;1;14;6.533333333333333;21.0;0;0;0.0;0.5;14.0
bert;Sepsis Cases - Event Log.xes_gs.csv;0.9090909090909091;0.9565217391304348;0;0;0;0;1.0;11;11;0;0;0;0;4;10.0;10.521739130434783;0;0;0;0;4.0
bert;BPI_Challenge_2017.xes_gs.csv;0.8333333333333333;0.8852459016393442;0;0;0.6666666666666666;0.5;0.8823529411764706;11;33;0;0;3;2;18;9.166666666666666;29.21311475409836;0;0;2.0;1.0;15.882352941176471
