model;log;f1-score BO;f1-score A;f1-score X;precision BO;precision A;precision X;recall BO;recall A;recall X;support BO;support A;support X
hmm;overall;0.398945518453427;0.5212014134275618;0.14241486068111453;0.3940972222222222;0.5662188099808061;0.17037037037037037;0.40391459074733094;0.4828150572831424;0.12234042553191489;562;611;188
bert;overall;0.647359454855196;0.8343145500420521;0.5714285714285714;0.6209150326797386;0.8581314878892734;0.7924528301886793;0.6761565836298933;0.8117839607201309;0.44680851063829785;562;611;188
bert;BERTCreditRequirement.xes_cleaned.csv_unique_edited.csv;1.0;1.0;0;1.0;1.0;0;1.0;1.0;0;7;7;0
hmm;HMMCreditRequirement.xes_cleaned.csv_unique_edited.csv;0.3333333333333333;0.5;0.0;0.4;0.6;0.0;0.2857142857142857;0.42857142857142855;0.0;7;7;0
bert;BERTPermitLog.xes_cleaned.csv_unique_edited.csv;0.8761904761904761;0.9019607843137255;0.9347826086956522;0.9019607843137255;0.9019607843137255;0.9347826086956522;0.8518518518518519;0.9019607843137255;0.9347826086956522;54;51;46
hmm;HMMPermitLog.xes_cleaned.csv_unique_edited.csv;0.13725490196078433;0.11538461538461538;0.2857142857142857;0.14583333333333334;0.11320754716981132;0.8;0.12962962962962962;0.11764705882352941;0.17391304347826086;54;51;46
bert;BERTDetail_Incident_Activity.csv_cleaned.csv_unique_edited.csv;0.7450980392156863;0.8611111111111112;0.7272727272727273;0.7307692307692307;0.8378378378378378;1.0;0.76;0.8857142857142857;0.5714285714285714;25;35;7
hmm;HMMDetail_Incident_Activity.csv_cleaned.csv_unique_edited.csv;0.34615384615384615;0.5263157894736843;0.10526315789473685;0.3333333333333333;0.6818181818181818;0.08333333333333333;0.36;0.42857142857142855;0.14285714285714285;25;35;7
bert;BERTRoad_Traffic_Fine_Management_Process.xes_cleaned.csv_unique_edited.csv;0.7777777777777778;0.9;1.0;0.7777777777777778;1.0;1.0;0.7777777777777778;0.8181818181818182;1.0;9;11;5
hmm;HMMRoad_Traffic_Fine_Management_Process.xes_cleaned.csv_unique_edited.csv;0.43478260869565216;0.8333333333333333;0.0;0.35714285714285715;0.7692307692307693;0.0;0.5555555555555556;0.9090909090909091;0.0;9;11;5
bert;BERTBPI_Challenge_2012.xes_cleaned.csv_unique_edited.csv;0.2222222222222222;0.744186046511628;0.0;0.15;0.8421052631578947;0.0;0.42857142857142855;0.6666666666666666;0.0;7;24;14
hmm;HMMBPI_Challenge_2012.xes_cleaned.csv_unique_edited.csv;0.0;0.380952380952381;0.0;0.0;0.4444444444444444;0.0;0.0;0.3333333333333333;0.0;7;24;14
bert;BERTSepsis Cases - Event Log.xes_cleaned.csv_unique_edited.csv;0.64;0.9090909090909091;0.0;0.5714285714285714;0.9090909090909091;0.0;0.7272727272727273;0.9090909090909091;0.0;11;11;4
hmm;HMMSepsis Cases - Event Log.xes_cleaned.csv_unique_edited.csv;0.1904761904761905;0.6;0.0;0.2;0.6666666666666666;0.0;0.18181818181818182;0.5454545454545454;0.0;11;11;4
bert;BERTHospital Billing - Event Log.xes_cleaned.csv_unique_edited.csv;0.7000000000000001;0.8148148148148148;0.6666666666666666;0.7777777777777778;0.7857142857142857;0.5;0.6363636363636364;0.8461538461538461;1.0;11;13;1
hmm;HMMHospital Billing - Event Log.xes_cleaned.csv_unique_edited.csv;0.5;0.6896551724137931;1.0;0.5555555555555556;0.625;1.0;0.45454545454545453;0.7692307692307693;1.0;11;13;1
bert;BERTBPIC15_1.xes_cleaned.csv_unique_edited.csv;0.6094003241491086;0.7923211169284468;0.46376811594202894;0.6123778501628665;0.8078291814946619;0.5161290322580645;0.6064516129032258;0.7773972602739726;0.42105263157894735;310;292;38
hmm;HMMBPIC15_1.xes_cleaned.csv_unique_edited.csv;0.41118421052631576;0.5647058823529412;0.07079646017699115;0.41946308724832215;0.6605504587155964;0.05333333333333334;0.4032258064516129;0.4931506849315068;0.10526315789473684;310;292;38
bert;BERTBPI_Challenge_2019.xes_cleaned.csv_unique_edited.csv;0.8051948051948051;0.9761904761904762;0.47619047619047616;0.7380952380952381;0.9761904761904762;1.0;0.8857142857142857;0.9761904761904762;0.3125;35;42;16
hmm;HMMBPI_Challenge_2019.xes_cleaned.csv_unique_edited.csv;0.7692307692307693;0.7073170731707318;0.0;0.6976744186046512;0.725;0.0;0.8571428571428571;0.6904761904761905;0.0;35;42;16
bert;BERTReceipt phase of an environmental permit application process ( WABO ) CoSeLoG project.xes_cleaned.csv_unique_edited.csv;0.3;0.6909090909090908;0.38297872340425526;0.2608695652173913;0.95;1.0;0.35294117647058826;0.5428571428571428;0.23684210526315788;34;35;38
hmm;HMMReceipt phase of an environmental permit application process ( WABO ) CoSeLoG project.xes_cleaned.csv_unique_edited.csv;0.12820512820512822;0.07692307692307693;0.20833333333333334;0.11363636363636363;0.06976744186046512;0.5;0.14705882352941177;0.08571428571428572;0.13157894736842105;34;35;38
bert;BERTCCC19 - Log XES.xes_cleaned.csv_unique_edited.csv;0.9629629629629629;0.9824561403508771;0;0.9629629629629629;0.9655172413793104;0;0.9629629629629629;1.0;0;27;28;0
hmm;HMMCCC19 - Log XES.xes_cleaned.csv_unique_edited.csv;0.6538461538461539;0.7169811320754718;0.0;0.68;0.76;0.0;0.6296296296296297;0.6785714285714286;0.0;27;28;0
bert;BERTBPI_Challenge_2013_closed_problems.xes_cleaned.csv_unique_edited.csv;0;1.0;0;0;1.0;0;0;1.0;0;0;4;0
hmm;HMMBPI_Challenge_2013_closed_problems.xes_cleaned.csv_unique_edited.csv;0.0;0.8571428571428571;0;0.0;1.0;0;0.0;0.75;0;0;4;0
bert;BERTBPI_Challenge_2018.xes_cleaned.csv_unique_edited.csv;0.7599999999999999;0.8500000000000001;0.4;0.6551724137931034;0.8717948717948718;1.0;0.9047619047619048;0.8292682926829268;0.25;21;41;4
hmm;HMMBPI_Challenge_2018.xes_cleaned.csv_unique_edited.csv;0.7234042553191489;0.8395061728395061;0.28571428571428575;0.6538461538461539;0.85;0.3333333333333333;0.8095238095238095;0.8292682926829268;0.25;21;41;4
bert;BERTBPI_Challenge_2017.xes_cleaned.csv_unique_edited.csv;0.358974358974359;0.8695652173913043;0.0;0.25;0.9090909090909091;0.0;0.6363636363636364;0.8333333333333334;0.0;11;24;18
hmm;HMMBPI_Challenge_2017.xes_cleaned.csv_unique_edited.csv;0.21428571428571427;0.3829787234042554;0.27272727272727276;0.17647058823529413;0.391304347826087;0.75;0.2727272727272727;0.375;0.16666666666666666;11;24;18
